CMDLINE /opt/homebrew/Caskroom/miniforge/base/bin/python3.10 merger_sersic_estim.py
MEM 0.234375 1745294598.9036
MEM 33.703125 1745294599.0087
MEM 52.359375 1745294599.1138
MEM 66.687500 1745294599.2189
MEM 83.031250 1745294599.3220
MEM 100.593750 1745294599.4261
MEM 106.468750 1745294599.5269
MEM 117.109375 1745294599.6320
MEM 161.703125 1745294599.7372
MEM 180.828125 1745294599.8379
MEM 186.046875 1745294599.9386
MEM 219.328125 1745294600.0412
MEM 184.328125 1745294600.1464
MEM 192.062500 1745294600.2515
MEM 199.609375 1745294600.3553
MEM 232.500000 1745294600.4567
MEM 199.984375 1745294600.5581
MEM 202.265625 1745294600.6633
MEM 211.953125 1745294600.7685
MEM 245.671875 1745294600.8720
MEM 196.671875 1745294600.9772
MEM 200.921875 1745294601.0824
MEM 181.687500 1745294601.1875
MEM 203.046875 1745294601.2926
MEM 211.718750 1745294601.3953
MEM 191.515625 1745294601.5005
MEM 208.593750 1745294601.6053
MEM 220.312500 1745294601.7105
MEM 269.734375 1745294601.8157
MEM 512.968750 1745294601.9208
MEM 748.234375 1745294602.0220
MEM 982.531250 1745294602.1233
MEM 1217.390625 1745294602.2285
MEM 1453.234375 1745294602.3337
MEM 1597.375000 1745294602.4388
MEM 1601.078125 1745294602.5419
MEM 1637.109375 1745294602.6470
MEM 1630.500000 1745294602.7522
MEM 1586.250000 1745294602.8554
MEM 1508.703125 1745294602.9606
MEM 1355.296875 1745294603.0628
MEM 1368.125000 1745294603.1680
MEM 1371.593750 1745294603.2731
MEM 1372.046875 1745294603.3783
MEM 1373.812500 1745294603.4834
MEM 1451.453125 1745294603.5855
MEM 1476.531250 1745294603.6905
MEM 1435.437500 1745294603.7957
MEM 1425.609375 1745294603.9008
MEM 1409.421875 1745294604.0059
MEM 1419.062500 1745294604.1111
MEM 1442.796875 1745294604.2179
MEM 1488.656250 1745294604.3230
MEM 1512.875000 1745294604.4281
MEM 1500.968750 1745294604.5332
MEM 1522.093750 1745294604.6384
MEM 1630.125000 1745294604.7435
MEM 1627.437500 1745294604.8486
MEM 1613.203125 1745294604.9537
MEM 1701.156250 1745294605.0588
MEM 1724.546875 1745294605.1640
MEM 1737.171875 1745294605.2691
MEM 1741.906250 1745294605.3742
MEM 1745.515625 1745294605.4756
MEM 1767.156250 1745294605.5807
MEM 1794.281250 1745294605.6859
MEM 1778.859375 1745294605.7910
MEM 1778.437500 1745294605.8961
MEM 1789.812500 1745294606.0012
MEM 1798.218750 1745294606.1064
MEM 1787.812500 1745294606.2115
MEM 1782.000000 1745294606.3166
MEM 1787.765625 1745294606.4218
MEM 1781.953125 1745294606.5261
MEM 1714.750000 1745294606.6270
MEM 1654.515625 1745294606.7322
MEM 1554.640625 1745294606.8373
MEM 1508.281250 1745294606.9425
MEM 1465.937500 1745294607.0438
MEM 1439.968750 1745294607.1489
MEM 1400.406250 1745294607.2541
MEM 1368.000000 1745294607.3592
MEM 1349.593750 1745294607.4621
MEM 1340.781250 1745294607.5629
MEM 1324.921875 1745294607.6632
MEM 1292.859375 1745294607.7634
MEM 1223.515625 1745294607.8652
MEM 1183.703125 1745294607.9704
MEM 1227.843750 1745294608.0758
MEM 1151.328125 1745294608.1810
MEM 1063.171875 1745294608.2861
MEM 978.296875 1745294608.3912
MEM 953.859375 1745294608.4941
MEM 929.421875 1745294608.5993
MEM 979.500000 1745294608.7045
MEM 989.500000 1745294608.8097
MEM 1036.375000 1745294608.9149
MEM 1086.984375 1745294609.0201
MEM 1079.125000 1745294609.1253
MEM 1160.796875 1745294609.2305
MEM 1236.484375 1745294609.3358
MEM 1273.437500 1745294609.4391
MEM 1302.390625 1745294609.5447
MEM 1317.234375 1745294609.6516
MEM 1281.968750 1745294609.7543
MEM 1256.171875 1745294609.8589
MEM 1126.937500 1745294609.9642
MEM 1131.296875 1745294610.0693
MEM 1117.203125 1745294610.1697
MEM 1024.640625 1745294610.2719
MEM 1022.015625 1745294610.3771
MEM 963.781250 1745294610.4780
MEM 928.953125 1745294610.5840
MEM 922.437500 1745294610.6893
MEM 896.593750 1745294610.7939
MEM 873.187500 1745294610.8982
MEM 905.593750 1745294611.0034
MEM 882.421875 1745294611.1085
MEM 907.171875 1745294611.2139
MEM 950.375000 1745294611.3191
MEM 996.156250 1745294611.4242
MEM 1017.562500 1745294611.5294
MEM 1017.703125 1745294611.6354
MEM 1057.750000 1745294611.7405
MEM 1039.734375 1745294611.8430
MEM 1120.390625 1745294611.9482
MEM 1129.531250 1745294612.0534
MEM 1142.281250 1745294612.1599
MEM 1083.750000 1745294612.2661
MEM 1060.718750 1745294612.3663
MEM 1113.828125 1745294612.4670
MEM 1071.546875 1745294612.5722
MEM 980.046875 1745294612.6767
MEM 951.781250 1745294612.7819
MEM 954.250000 1745294612.8863
MEM 953.156250 1745294612.9914
MEM 952.281250 1745294613.0933
MEM 954.125000 1745294613.1942
MEM 912.656250 1745294613.2977
MEM 855.828125 1745294613.4016
MEM 727.562500 1745294613.5067
MEM 741.796875 1745294613.6078
MEM 805.187500 1745294613.7118
MEM 675.734375 1745294613.8143
MEM 625.281250 1745294613.9195
MEM 667.078125 1745294614.0212
MEM 705.515625 1745294614.1227
